Livsmedelsnummer,Livsmedelsnamn,Råvara nivå 1,Andel,Inkluderar,Tillagningsprocess  nivå 1,Konverteringsfaktor nivå 1,Publikation nivå 1,Foodex2 nivå 1,Rå mängd beräknad,Beräkning rå mängd,Råvara nivå 2,Tillagningsprocess nivå 2,Konverteringsfaktor nivå 2,Publikation nivå 2,Foodex2 nivå 2,Kommentar,
5703,Vegetarisk lasagne,Quorn,6,,"Rå, tillagad ",1,-,A03TG,6,"6 * 1,00",,,,,,Faktor = logisk slutledning,
5703,Vegetarisk lasagne,Tomat krossad,13,"tomatkross, krossad tomat, ",Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,15.6,"13 * 1,20",,,,,,Faktor beräknad 40% tomatjuice och 60% tomat tillagad.,
5703,Vegetarisk lasagne,Fett vegetabiliskt fett och olja,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
5703,Vegetarisk lasagne,sojaprotein,2,"Sojaproteinisolat, sojaproteinkoncentrat",Torkad,3.1,Produktionsteknologi för ätbart mjöl och proteinprodukter från sojabönor (1992) Berk Z,A015P,6.2,"2 * 3,10",,,,,,OBS: faktorn konverterar till torkad sojaböna,
5703,Vegetarisk lasagne,Tomat ,1,,Pure ,3.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,3.2,"1 * 3,20",,,,,,,
5703,Vegetarisk lasagne,"Vete, siktat",1,,"Tillagad, adderad",1,-,A003Y,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
5703,Vegetarisk lasagne,Salt,0,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,0,"0 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,Aubergine ,33,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00JD,33,"33 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,"Mjölk fett 1-2,5 %",11,,"Rå, tillagad ",1,-,A02LZ,11,"11 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,Quorn,6,,"Rå, tillagad ",1,-,A03TG,6,"6 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,"Lök (gul, röd)",11,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,11,"11 * 1,00",,,,,,,
5704,Vegetarisk moussaka,"Mjölk fett > 2,5%",5,,"Rå, tillagad ",1,-,A02LY,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,Mjölk fett < 1 %,3,,"Rå, tillagad ",1,-,A02MA,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,"Ägg, höna",4,Helt ägg höna,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031G,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,Ost (hårdost),2,"Ystade hårdostar, kittost, mögelost","Rå, tillagad ",1,-,A02VA,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,Vatten,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,3,"3 * 1,00",,,,,,Faktor=logiskt slutledning,
5704,Vegetarisk moussaka,Tomat ,2,,Pure ,3.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,6.4,"2 * 3,20",,,,,,,
5704,Vegetarisk moussaka,Fett matfettsblandning,2,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,Tomat krossad,13,"tomatkross, krossad tomat, ",Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,15.6,"13 * 1,20",,,,,,Faktor beräknad 40% tomatjuice och 60% tomat tillagad.,
5704,Vegetarisk moussaka,sojaprotein,2,"Sojaproteinisolat, sojaproteinkoncentrat",Torkad,3.1,Produktionsteknologi för ätbart mjöl och proteinprodukter från sojabönor (1992) Berk Z,A015P,6.2,"2 * 3,10",,,,,,OBS: faktorn konverterar till torkad sojaböna,
5704,Vegetarisk moussaka,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,"Vete, siktat",1,,"Tillagad, adderad",1,-,A003Y,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,Övrigt,0,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,0,"0 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
5704,Vegetarisk moussaka,Fett vegetabiliskt fett och olja,0,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,0,"0 * 1,00",,,,,,Faktor = logisk slutledning,
5704,Vegetarisk moussaka,Vetegluten,0,Gluten,Tillagad,10,LCI data for the calculation tool Feedprint for greenhouse gas emissions of feed production and utilization (2012) Zeist et al,A004B,0,"0 * 10,00",,,,,,Vetegluten är en relativt vanlig brödingrediens.,
5704,Vegetarisk moussaka,Olja solrosolja,0,,"Tillagad, adderad",1,Användarhjälp - Riktlinjer för beräknade livsmedel,A037D,0,"0 * 1,00",Solrosfrön,Juice drickfärdig,2.5,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015L,,
5704,Vegetarisk moussaka,Vitlök,0,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00GZ,0,"0 * 1,00",,,,,,,
5705,Vegetarisk schnitzel ,Vatten,30,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,30,"30 * 1,00",,,,,,Faktor=logiskt slutledning,
5705,Vegetarisk schnitzel ,Quorn,24,,"Rå, tillagad ",1,-,A03TG,24,"24 * 1,00",,,,,,Faktor = logisk slutledning,
5705,Vegetarisk schnitzel ,"Vete, siktat",12,,"Tillagad, adderad",1,-,A003Y,12,"12 * 1,00",,,,,,Faktor = logisk slutledning,
5705,Vegetarisk schnitzel ,Citron,8,,Juice drickfärdig,1.6,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01BY,12.8,"8 * 1,60",,,,,,,
5705,Vegetarisk schnitzel ,sojaprotein,8,"Sojaproteinisolat, sojaproteinkoncentrat",Torkad,3.1,Produktionsteknologi för ätbart mjöl och proteinprodukter från sojabönor (1992) Berk Z,A015P,24.8,"8 * 3,10",,,,,,OBS: faktorn konverterar till torkad sojaböna,
5705,Vegetarisk schnitzel ,Ost (hårdost),4,"Ystade hårdostar, kittost, mögelost","Rå, tillagad ",1,-,A02VA,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
5705,Vegetarisk schnitzel ,Fett vegetabiliskt fett och olja,4,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
5705,Vegetarisk schnitzel ,Fett matfettsblandning,2,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
5705,Vegetarisk schnitzel ,"Mjölk fett 1-2,5 %",2,,"Rå, tillagad ",1,-,A02LZ,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
5705,Vegetarisk schnitzel ,"Vete, stärkelse",2,,"Tillagad, adderad",1,"Food in Europe - production, processing and composition, ed Aldén KI och Algers A",A004M,2,"2 * 1,00","Vete, fullkorn",Pulveriserat,1.5,"Food in Europe - production, processing and composition, ed Aldén KI och Algers A",A004B,Råvaran på nivå 2 är satt som vetekorn. Utbytet för att få vetestärkelse är 65%. ,
5705,Vegetarisk schnitzel ,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
5705,Vegetarisk schnitzel ,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
5705,Vegetarisk schnitzel ,"Råg, fullkorn",1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A003M,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
5705,Vegetarisk schnitzel ,Vasslepulver,0,,"Rå, tillagad ",1,Svensk mjölk 2001,A02MR_R,0,"0 * 1,00",,,,,,,
5705,Vegetarisk schnitzel ,"Majs, stärkelse",0,"majsstärkelse, maizena","Rå, tillagad ",1.5,"Food in Europe - production, processing and composition, ed Aldén KI och Algers A",A000T,0,"0 * 1,50",,,,,,Råvaran är satt som majskorn. Utbytet för att få majsstärkelse är 66%. ,
5706,Vegetarisk pyttipanna,Potatis,30,,Tillagad,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00ZX,30,"30 * 1,00",,,,,,,
5706,Vegetarisk pyttipanna,Potatis,12,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00ZX,12,"12 * 1,00",,,,,,Faktor = logisk slutledning,
5706,Vegetarisk pyttipanna,Morot,10,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00QH,10,"10 * 1,00",,,,,,,
5706,Vegetarisk pyttipanna,Kålrot,10,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00RD,10,"10 * 1,00",,,,,,,
5706,Vegetarisk pyttipanna,Quorn,4,,"Rå, tillagad ",1,-,A03TG,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
5706,Vegetarisk pyttipanna,"Lök (gul, röd)",8,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,8,"8 * 1,00",,,,,,,
5706,Vegetarisk pyttipanna,Vatten,4,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,4,"4 * 1,00",,,,,,Faktor=logiskt slutledning,
5706,Vegetarisk pyttipanna,"Lök (gul, röd)",10,,Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,12,"10 * 1,20",,,,,,Faktor för kokt,
5706,Vegetarisk pyttipanna,sojaprotein,2,"Sojaproteinisolat, sojaproteinkoncentrat",Torkad,3.1,Produktionsteknologi för ätbart mjöl och proteinprodukter från sojabönor (1992) Berk Z,A015P,6.2,"2 * 3,10",,,,,,OBS: faktorn konverterar till torkad sojaböna,
5706,Vegetarisk pyttipanna,Vetegluten,2,Gluten,Tillagad,10,LCI data for the calculation tool Feedprint for greenhouse gas emissions of feed production and utilization (2012) Zeist et al,A004B,20,"2 * 10,00",,,,,,Vetegluten är en relativt vanlig brödingrediens.,
5706,Vegetarisk pyttipanna,Olja solrosolja,2,,"Tillagad, adderad",1,Användarhjälp - Riktlinjer för beräknade livsmedel,A037D,2,"2 * 1,00",Solrosfrön,Juice drickfärdig,2.5,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015L,,
5706,Vegetarisk pyttipanna,Rotselleri,2,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00QJ,2,"2 * 1,00",,,,,,,
5706,Vegetarisk pyttipanna,Fett vegetabiliskt fett och olja,2,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
5706,Vegetarisk pyttipanna,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
5706,Vegetarisk pyttipanna,Salt,0,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,0,"0 * 1,00",,,,,,Faktor = logisk slutledning,
5706,Vegetarisk pyttipanna,Persilja,0,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00YE,0,"0 * 1,00",,,,,,Faktor=logisk slutledning,
5709,Vegetarisk filé bitar,Quorn,50,,"Rå, tillagad ",1,-,A03TG,50,"50 * 1,00",,,,,,Faktor = logisk slutledning,
5709,Vegetarisk filé bitar,Vatten,38,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,38,"38 * 1,00",,,,,,Faktor=logiskt slutledning,
5709,Vegetarisk filé bitar,Sojamjöl,12,"Avfettat sojamjöl, sojamjöl med fett",Torkad,1.3,Produktionsteknologi för ätbart mjöl och proteinprodukter från sojabönor (1992) Berk Z,A015P,15.6,"12 * 1,30",,,,,,OBS faktorn konverterar till torkad sojaböna,
5710,Vegetariska nuggets,Quorn,30,,"Rå, tillagad ",1,-,A03TG,30,"30 * 1,00",,,,,,Faktor = logisk slutledning,
5710,Vegetariska nuggets,Vatten,30,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,30,"30 * 1,00",,,,,,Faktor=logiskt slutledning,
5710,Vegetariska nuggets,"Vete, siktat",10,,"Tillagad, adderad",1,-,A003Y,10,"10 * 1,00",,,,,,Faktor = logisk slutledning,
5710,Vegetariska nuggets,sojaprotein,6,"Sojaproteinisolat, sojaproteinkoncentrat",Torkad,3.1,Produktionsteknologi för ätbart mjöl och proteinprodukter från sojabönor (1992) Berk Z,A015P,18.6,"6 * 3,10",,,,,,OBS: faktorn konverterar till torkad sojaböna,
5710,Vegetariska nuggets,Fett vegetabiliskt fett och olja,5,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
5710,Vegetariska nuggets,Jäst,1,jästextrakt,"Rå, tillagad ",1,-,A049A,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
5710,Vegetariska nuggets,"Lök (gul, röd)",2,,Torkad,9,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A00HC,18,"2 * 9,00",,,,,,,
5710,Vegetariska nuggets,"Majs, siktat",2,polenta,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A002Q,2,"2 * 1,00",,,,,,,
5710,Vegetariska nuggets,"Vete, stärkelse",2,,"Tillagad, adderad",1,"Food in Europe - production, processing and composition, ed Aldén KI och Algers A",A004M,2,"2 * 1,00","Vete, fullkorn",Pulveriserat,1.5,"Food in Europe - production, processing and composition, ed Aldén KI och Algers A",A004B,Råvaran på nivå 2 är satt som vetekorn. Utbytet för att få vetestärkelse är 65%. ,
5710,Vegetariska nuggets,Äggvita,2,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031T,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
5710,Vegetariska nuggets,Övrigt,2,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,2,"2 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
5710,Vegetariska nuggets,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
5710,Vegetariska nuggets,Sesamfrö,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A015K,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
5710,Vegetariska nuggets,Olja solrosolja,1,,"Tillagad, adderad",1,Användarhjälp - Riktlinjer för beräknade livsmedel,A037D,1,"1 * 1,00",Solrosfrön,Juice drickfärdig,2.5,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015L,,
5710,Vegetariska nuggets,Stärkelse,0,"47% majs, 38% vete och 15% potatis.  0% Tapiocasträrkelse","Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A011F,0,"0 * 1,00",,,,,,Foodex2-kod finns ännu inte i foodex2-browser ver 0.1.3 men kommer att tas med i framtida uppdateringar.,
5710,Vegetariska nuggets,Vetegluten,4,Gluten,Tillagad,10,LCI data for the calculation tool Feedprint for greenhouse gas emissions of feed production and utilization (2012) Zeist et al,A004B,40,"4 * 10,00",,,,,,Vetegluten är en relativt vanlig brödingrediens.,
5711,Vegetariska bollar,Bönor utan balja,39,"bondböna, jackböna, limaböna",Tillagad,0.4,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A012S,15.6,"39 * 0,40",,,,,,,
5711,Vegetariska bollar,Ärter utan skida (utgångsläge torkad),18,"gul ärtor, grön ärta, kikärt",Tillagad,0.4,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A013J,7.2,"18 * 0,40",,,,,,,
5711,Vegetariska bollar,Quorn,14,,"Rå, tillagad ",1,-,A03TG,14,"14 * 1,00",,,,,,Faktor = logisk slutledning,
5711,Vegetariska bollar,"Vete, stärkelse",4,,"Tillagad, adderad",1,"Food in Europe - production, processing and composition, ed Aldén KI och Algers A",A004M,4,"4 * 1,00","Vete, fullkorn",Pulveriserat,1.5,"Food in Europe - production, processing and composition, ed Aldén KI och Algers A",A004B,Råvaran på nivå 2 är satt som vetekorn. Utbytet för att få vetestärkelse är 65%. ,
5711,Vegetariska bollar,Övrigt,4,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,4,"4 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
5711,Vegetariska bollar,Vatten,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,3,"3 * 1,00",,,,,,Faktor=logiskt slutledning,
5711,Vegetariska bollar,Olja sojaolja,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036X,3,"3 * 1,00",Sojaböna,Juice drickfärdig,5,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015P,,
5711,Vegetariska bollar,Äggvita,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031T,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
5711,Vegetariska bollar,"Lök (gul, röd)",3,,Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,3.6,"3 * 1,20",,,,,,Faktor för kokt,
5711,Vegetariska bollar,Vetegluten,2,Gluten,Tillagad,10,LCI data for the calculation tool Feedprint for greenhouse gas emissions of feed production and utilization (2012) Zeist et al,A004B,20,"2 * 10,00",,,,,,Vetegluten är en relativt vanlig brödingrediens.,
5711,Vegetariska bollar,"Vete, siktat",2,,"Tillagad, adderad",1,-,A003Y,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
5711,Vegetariska bollar,"Lök (gul, röd)",2,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,2,"2 * 1,00",,,,,,,
5711,Vegetariska bollar,Persilja,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00YE,1,"1 * 1,00",,,,,,Faktor=logisk slutledning,
5711,Vegetariska bollar,Fett matfettsblandning,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
5711,Vegetariska bollar,Olja palmolja,1,"Palmolja, palmfett","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A037N,1,"1 * 1,00",Palmfrukt,Juice drickfärdig,1.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016P,"kodningen inkluderar just nu inte Palmkärnolja
",
5712,Vegetarisk färssås,Bönor utan balja,14,"bondböna, jackböna, limaböna",Tillagad,0.4,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A012S,5.6,"14 * 0,40",,,,,,,
5712,Vegetarisk färssås,"Lök (gul, röd)",19,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,19,"19 * 1,00",,,,,,,
5712,Vegetarisk färssås,Quorn,13,,"Rå, tillagad ",1,-,A03TG,13,"13 * 1,00",,,,,,Faktor = logisk slutledning,
5712,Vegetarisk färssås,Tomat krossad,28,"tomatkross, krossad tomat, ",Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,33.6,"28 * 1,20",,,,,,Faktor beräknad 40% tomatjuice och 60% tomat tillagad.,
5712,Vegetarisk färssås,Vatten,10,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,10,"10 * 1,00",,,,,,Faktor=logiskt slutledning,
5712,Vegetarisk färssås,Paprika ,8,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JA,8,"8 * 1,00",,,,,,,
5712,Vegetarisk färssås,sojaprotein,4,"Sojaproteinisolat, sojaproteinkoncentrat",Torkad,3.1,Produktionsteknologi för ätbart mjöl och proteinprodukter från sojabönor (1992) Berk Z,A015P,12.4,"4 * 3,10",,,,,,OBS: faktorn konverterar till torkad sojaböna,
5712,Vegetarisk färssås,Tomat ,3,,Pure ,3.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,9.6,"3 * 3,20",,,,,,,
5712,Vegetarisk färssås,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
5713,"Vegetarisk gryta, quorn eller soja",Quorn,9,,"Rå, tillagad ",1,-,A03TG,9,"9 * 1,00",,,,,,Faktor = logisk slutledning,
5713,"Vegetarisk gryta, quorn eller soja",Squash,13,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JR,13,"13 * 1,00",,,,,,,
5713,"Vegetarisk gryta, quorn eller soja",Tomat krossad,28,"tomatkross, krossad tomat, ",Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,33.6,"28 * 1,20",,,,,,Faktor beräknad 40% tomatjuice och 60% tomat tillagad.,
5713,"Vegetarisk gryta, quorn eller soja",Paprika ,8,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JA,8,"8 * 1,00",,,,,,,
5713,"Vegetarisk gryta, quorn eller soja",Morot,8,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00QH,8,"8 * 1,00",,,,,,,
5713,"Vegetarisk gryta, quorn eller soja","Lök (gul, röd)",6,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,6,"6 * 1,00",,,,,,,
5713,"Vegetarisk gryta, quorn eller soja",Vatten,6,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,6,"6 * 1,00",,,,,,Faktor=logiskt slutledning,
5713,"Vegetarisk gryta, quorn eller soja",Purjolök,5,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00SB,5,"5 * 1,00",,,,,,,
5713,"Vegetarisk gryta, quorn eller soja",Aubergine ,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00JD,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
5713,"Vegetarisk gryta, quorn eller soja",Blomkål,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00FR,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
5713,"Vegetarisk gryta, quorn eller soja",Kålrot,3,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00RD,3,"3 * 1,00",,,,,,,
5713,"Vegetarisk gryta, quorn eller soja",Palsternacka ,3,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00QR,3,"3 * 1,00",,,,,,,
5713,"Vegetarisk gryta, quorn eller soja",Fett vegetabiliskt fett och olja,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
5713,"Vegetarisk gryta, quorn eller soja",Vitlök,3,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00GZ,3,"3 * 1,00",,,,,,,
5713,"Vegetarisk gryta, quorn eller soja",Sojamjöl,3,"Avfettat sojamjöl, sojamjöl med fett",Torkad,1.3,Produktionsteknologi för ätbart mjöl och proteinprodukter från sojabönor (1992) Berk Z,A015P,3.9,"3 * 1,30",,,,,,OBS faktorn konverterar till torkad sojaböna,
5713,"Vegetarisk gryta, quorn eller soja",Olja olivolja,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036P,1,"1 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
5713,"Vegetarisk gryta, quorn eller soja",Persilja,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00YE,1,"1 * 1,00",,,,,,Faktor=logisk slutledning,
5714,Vegetarisk biff,Ärter utan skida (utgångsläge torkad),19,"gul ärtor, grön ärta, kikärt",Tillagad,0.4,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A013J,7.6,"19 * 0,40",,,,,,,
5714,Vegetarisk biff,Bönor utan balja,9,"bondböna, jackböna, limaböna",Tillagad,0.4,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A012S,3.6,"9 * 0,40",,,,,,,
5714,Vegetarisk biff,"Ägg, höna",11,Helt ägg höna,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031G,11,"11 * 1,00",,,,,,Faktor = logisk slutledning,
5714,Vegetarisk biff,Quorn,15,,"Rå, tillagad ",1,-,A03TG,15,"15 * 1,00",,,,,,Faktor = logisk slutledning,
5714,Vegetarisk biff,Potatis,8,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00ZX,8,"8 * 1,00",,,,,,Faktor = logisk slutledning,
5714,Vegetarisk biff,"Lök (gul, röd)",6,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,6,"6 * 1,00",,,,,,,
5714,Vegetarisk biff,Rotselleri,6,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00QJ,6,"6 * 1,00",,,,,,,
